trust,region,year,month,month_name,period,attendances,admissions,breaches,perf_4hr_pct,breach_rate_pct,admission_rate_pct,median_wait_mins,ambulance_handover_delay_pct,prev_month_perf,prev_month_breach,rolling_3m_att,att_growth_pct,is_winter,is_covid_period
Barts Health NHS Trust,London,2019,10,Oct,2019-10,18697,4786,2707,85.5,14.5,25.6,78.0,3.8,85.8,14.2,19180.0,1.25,0,0
Barts Health NHS Trust,London,2019,11,Nov,2019-11,19788,5868,3222,83.7,16.3,29.7,97.0,7.9,85.5,14.5,18984.0,5.84,1,0
Barts Health NHS Trust,London,2019,12,Dec,2019-12,21605,6535,4592,78.7,21.3,30.2,134.0,9.3,83.7,16.3,20030.0,9.18,1,0
Barts Health NHS Trust,London,2020,1,Jan,2020-01,22739,5632,5282,76.8,23.2,24.8,120.0,7.7,78.7,21.3,21377.0,5.25,1,0
Barts Health NHS Trust,London,2020,2,Feb,2020-02,21618,5198,4228,80.4,19.6,24.0,93.0,6.4,76.8,23.2,21987.0,-4.93,1,0
Barts Health NHS Trust,London,2020,3,Mar,2020-03,19676,5187,3939,80.0,20.0,26.4,152.0,5.9,80.4,19.6,21344.0,-8.98,0,1
Barts Health NHS Trust,London,2020,4,Apr,2020-04,10240,2718,1504,85.3,14.7,26.5,109.0,7.9,80.0,20.0,17178.0,-47.96,0,1
Barts Health NHS Trust,London,2020,5,May,2020-05,9815,2562,1375,86.0,14.0,26.1,85.0,2.1,85.3,14.7,13244.0,-4.15,0,1
Barts Health NHS Trust,London,2020,6,Jun,2020-06,10421,2538,1510,85.5,14.5,24.4,85.0,7.5,86.0,14.0,10159.0,6.17,0,1
Barts Health NHS Trust,London,2020,7,Jul,2020-07,15764,4323,2746,82.6,17.4,27.4,109.0,4.6,85.5,14.5,12000.0,51.27,0,0
Barts Health NHS Trust,London,2020,8,Aug,2020-08,16787,4308,2678,84.0,16.0,25.7,100.0,4.8,82.6,17.4,14324.0,6.49,0,0
Barts Health NHS Trust,London,2020,9,Sep,2020-09,15030,4170,2174,85.5,14.5,27.8,78.0,7.1,84.0,16.0,15860.0,-10.47,0,0
Barts Health NHS Trust,London,2020,10,Oct,2020-10,18891,4587,3449,81.7,18.3,24.3,96.0,7.5,85.5,14.5,16903.0,25.69,0,0
Barts Health NHS Trust,London,2020,11,Nov,2020-11,19898,5090,3871,80.5,19.5,25.6,98.0,4.9,81.7,18.3,17940.0,5.33,1,0
Barts Health NHS Trust,London,2020,12,Dec,2020-12,21793,6659,4785,78.0,22.0,30.6,116.0,6.7,80.5,19.5,20194.0,9.52,1,0
Barts Health NHS Trust,London,2021,1,Jan,2021-01,21730,6549,6367,70.7,29.3,30.1,122.0,11.2,78.0,22.0,21140.0,-0.29,1,0
Barts Health NHS Trust,London,2021,2,Feb,2021-02,21993,6093,6440,70.7,29.3,27.7,121.0,7.8,70.7,29.3,21839.0,1.21,1,0
Barts Health NHS Trust,London,2021,3,Mar,2021-03,21124,6005,5365,74.6,25.4,28.4,125.0,8.0,70.7,29.3,21616.0,-3.95,0,0
Barts Health NHS Trust,London,2021,4,Apr,2021-04,19255,5816,4316,77.6,22.4,30.2,145.0,8.7,74.6,25.4,20791.0,-8.85,0,0
Barts Health NHS Trust,London,2021,5,May,2021-05,17907,5424,4272,76.1,23.9,30.3,137.0,5.4,77.6,22.4,19429.0,-7.0,0,0
Barts Health NHS Trust,London,2021,6,Jun,2021-06,18499,4446,4134,77.7,22.3,24.0,117.0,8.1,76.1,23.9,18554.0,3.31,0,0
Barts Health NHS Trust,London,2021,7,Jul,2021-07,20788,5315,4967,76.1,23.9,25.6,142.0,6.8,77.7,22.3,19065.0,12.37,0,0
Barts Health NHS Trust,London,2021,8,Aug,2021-08,20764,5927,5090,75.5,24.5,28.5,148.0,9.5,76.1,23.9,20017.0,-0.12,0,0
Barts Health NHS Trust,London,2021,9,Sep,2021-09,19017,5053,4778,74.9,25.1,26.6,122.0,7.3,75.5,24.5,20190.0,-8.41,0,0
Barts Health NHS Trust,London,2021,10,Oct,2021-10,20236,6120,5247,74.1,25.9,30.2,138.0,10.8,74.9,25.1,20006.0,6.41,0,0
Barts Health NHS Trust,London,2021,11,Nov,2021-11,21063,5781,5833,72.3,27.7,27.4,119.0,11.0,74.1,25.9,20105.0,4.09,1,0
Barts Health NHS Trust,London,2021,12,Dec,2021-12,21455,6118,6845,68.1,31.9,28.5,167.0,13.8,72.3,27.7,20918.0,1.86,1,0
Barts Health NHS Trust,London,2022,1,Jan,2022-01,23635,6284,7880,66.7,33.3,26.6,156.0,14.2,68.1,31.9,22051.0,10.16,1,0
Barts Health NHS Trust,London,2022,2,Feb,2022-02,21689,6668,6861,68.4,31.6,30.7,210.0,9.8,66.7,33.3,22260.0,-8.23,1,0
Barts Health NHS Trust,London,2022,3,Mar,2022-03,20632,5409,6106,70.4,29.6,26.2,118.0,10.7,68.4,31.6,21985.0,-4.87,0,0
Barts Health NHS Trust,London,2022,4,Apr,2022-04,19908,5572,5418,72.8,27.2,28.0,114.0,10.2,70.4,29.6,20743.0,-3.51,0,0
Barts Health NHS Trust,London,2022,5,May,2022-05,19579,5409,5471,72.1,27.9,27.6,149.0,11.2,72.8,27.2,20040.0,-1.65,0,0
Barts Health NHS Trust,London,2022,6,Jun,2022-06,19741,5234,5170,73.8,26.2,26.5,123.0,11.0,72.1,27.9,19743.0,0.83,0,0
Barts Health NHS Trust,London,2022,7,Jul,2022-07,21340,6485,5769,73.0,27.0,30.4,133.0,9.5,73.8,26.2,20220.0,8.1,0,0
Barts Health NHS Trust,London,2022,8,Aug,2022-08,21929,6340,6338,71.1,28.9,28.9,146.0,12.5,73.0,27.0,21003.0,2.76,0,0
Barts Health NHS Trust,London,2022,9,Sep,2022-09,18987,4681,5316,72.0,28.0,24.7,136.0,7.0,71.1,28.9,20752.0,-13.42,0,0
Barts Health NHS Trust,London,2022,10,Oct,2022-10,19777,5143,5801,70.7,29.3,26.0,137.0,7.4,72.0,28.0,20231.0,4.16,0,0
Barts Health NHS Trust,London,2022,11,Nov,2022-11,20625,5470,6334,69.3,30.7,26.5,163.0,10.9,70.7,29.3,19796.0,4.29,1,0
Barts Health NHS Trust,London,2022,12,Dec,2022-12,22691,6435,7973,64.9,35.1,28.4,161.0,9.6,69.3,30.7,21031.0,10.02,1,0
Barts Health NHS Trust,London,2023,1,Jan,2023-01,23247,6616,9029,61.2,38.8,28.5,202.0,16.4,64.9,35.1,22188.0,2.45,1,0
Barts Health NHS Trust,London,2023,2,Feb,2023-02,22210,6566,8486,61.8,38.2,29.6,173.0,13.0,61.2,38.8,22716.0,-4.46,1,0
Barts Health NHS Trust,London,2023,3,Mar,2023-03,20459,6288,7549,63.1,36.9,30.7,209.0,14.1,61.8,38.2,21972.0,-7.88,0,0
Barts Health NHS Trust,London,2023,4,Apr,2023-04,19417,4872,6467,66.7,33.3,25.1,171.0,12.0,63.1,36.9,20695.0,-5.09,0,0
Barts Health NHS Trust,London,2023,5,May,2023-05,19485,5058,5818,70.1,29.9,26.0,153.0,11.9,66.7,33.3,19787.0,0.35,0,0
Barts Health NHS Trust,London,2023,6,Jun,2023-06,19847,5346,6064,69.4,30.6,26.9,171.0,9.8,70.1,29.9,19583.0,1.86,0,0
Barts Health NHS Trust,London,2023,7,Jul,2023-07,21610,5361,7443,65.6,34.4,24.8,158.0,9.3,69.4,30.6,20314.0,8.88,0,0
Barts Health NHS Trust,London,2023,8,Aug,2023-08,22397,6118,7321,67.3,32.7,27.3,161.0,11.4,65.6,34.4,21285.0,3.64,0,0
Barts Health NHS Trust,London,2023,9,Sep,2023-09,19518,5277,6404,67.2,32.8,27.0,181.0,12.2,67.3,32.7,21175.0,-12.85,0,0
Barts Health NHS Trust,London,2023,10,Oct,2023-10,20382,5426,7199,64.7,35.3,26.6,196.0,12.4,67.2,32.8,20766.0,4.43,0,0
Barts Health NHS Trust,London,2023,11,Nov,2023-11,22399,5631,7922,64.6,35.4,25.1,160.0,13.2,64.7,35.3,20766.0,9.9,1,0
Barts Health NHS Trust,London,2023,12,Dec,2023-12,21729,6645,8183,62.3,37.7,30.6,192.0,12.5,64.6,35.4,21503.0,-2.99,1,0
Barts Health NHS Trust,London,2024,1,Jan,2024-01,23842,6632,8743,63.3,36.7,27.8,216.0,12.2,62.3,37.7,22657.0,9.72,1,0
Barts Health NHS Trust,London,2024,2,Feb,2024-02,23379,5931,7804,66.6,33.4,25.4,160.0,9.3,63.3,36.7,22983.0,-1.94,1,0
Barts Health NHS Trust,London,2024,3,Mar,2024-03,20693,5955,7061,65.9,34.1,28.8,160.0,10.9,66.6,33.4,22638.0,-11.49,0,0
Barts Health NHS Trust,London,2024,4,Apr,2024-04,20431,6068,6417,68.6,31.4,29.7,173.0,8.7,65.9,34.1,21501.0,-1.27,0,0
Barts Health NHS Trust,London,2024,5,May,2024-05,19779,5961,5436,72.5,27.5,30.1,143.0,11.4,68.6,31.4,20301.0,-3.19,0,0
Barts Health NHS Trust,London,2024,6,Jun,2024-06,19737,5773,5880,70.2,29.8,29.3,146.0,13.4,72.5,27.5,19982.0,-0.21,0,0
Barts Health NHS Trust,London,2024,7,Jul,2024-07,21372,6290,6521,69.5,30.5,29.4,177.0,13.3,70.2,29.8,20296.0,8.28,0,0
Barts Health NHS Trust,London,2024,8,Aug,2024-08,22772,6662,7124,68.7,31.3,29.3,204.0,8.6,69.5,30.5,21294.0,6.55,0,0
Barts Health NHS Trust,London,2024,9,Sep,2024-09,20523,6112,5948,71.0,29.0,29.8,124.0,12.5,68.7,31.3,21556.0,-9.88,0,0
Barts Health NHS Trust,London,2024,10,Oct,2024-10,20316,6163,6696,67.0,33.0,30.3,161.0,10.5,71.0,29.0,21204.0,-1.01,0,0
Barts Health NHS Trust,London,2024,11,Nov,2024-11,22934,6424,7270,68.3,31.7,28.0,196.0,10.8,67.0,33.0,21258.0,12.89,1,0
Barts Health NHS Trust,London,2024,12,Dec,2024-12,22577,6481,8170,63.8,36.2,28.7,204.0,14.4,68.3,31.7,21942.0,-1.56,1,0
Bristol Royal Infirmary,South West,2018,2,Feb,2018-02,11514,3323,1697,85.3,14.7,28.9,101.0,7.3,83.8,16.2,11731.0,-3.63,1,0
Bristol Royal Infirmary,South West,2018,3,Mar,2018-03,10825,2745,1374,87.3,12.7,25.4,87.0,3.5,85.3,14.7,11429.0,-5.98,0,0
Bristol Royal Infirmary,South West,2018,4,Apr,2018-04,10574,3056,1004,90.5,9.5,28.9,67.0,3.7,87.3,12.7,10971.0,-2.32,0,0
Bristol Royal Infirmary,South West,2018,5,May,2018-05,10331,2754,975,90.6,9.4,26.7,50.0,5.0,90.5,9.5,10577.0,-2.3,0,0
Bristol Royal Infirmary,South West,2018,6,Jun,2018-06,10482,2534,1089,89.6,10.4,24.2,104.0,0.7,90.6,9.4,10462.0,1.46,0,0
Bristol Royal Infirmary,South West,2018,7,Jul,2018-07,11204,3032,1069,90.5,9.5,27.1,52.0,4.6,89.6,10.4,10672.0,6.89,0,0
Bristol Royal Infirmary,South West,2018,8,Aug,2018-08,11627,3577,1423,87.8,12.2,30.8,77.0,4.3,90.5,9.5,11104.0,3.78,0,0
Bristol Royal Infirmary,South West,2018,9,Sep,2018-09,10362,2616,930,91.0,9.0,25.3,69.0,3.5,87.8,12.2,11064.0,-10.88,0,0
Bristol Royal Infirmary,South West,2018,10,Oct,2018-10,10413,3129,1447,86.1,13.9,30.1,81.0,3.7,91.0,9.0,10801.0,0.49,0,0
Bristol Royal Infirmary,South West,2018,11,Nov,2018-11,11149,3200,1498,86.6,13.4,28.7,103.0,3.2,86.1,13.9,10641.0,7.07,1,0
Bristol Royal Infirmary,South West,2018,12,Dec,2018-12,11877,3542,1976,83.4,16.6,29.8,107.0,2.9,86.6,13.4,11146.0,6.53,1,0
Bristol Royal Infirmary,South West,2019,1,Jan,2019-01,12463,3469,2707,78.3,21.7,27.8,123.0,6.4,83.4,16.6,11830.0,4.93,1,0
Bristol Royal Infirmary,South West,2019,2,Feb,2019-02,11619,3060,2084,82.1,17.9,26.3,101.0,5.7,78.3,21.7,11986.0,-6.77,1,0
Bristol Royal Infirmary,South West,2019,3,Mar,2019-03,10835,2817,1602,85.2,14.8,26.0,90.0,6.3,82.1,17.9,11639.0,-6.75,0,0
Bristol Royal Infirmary,South West,2019,4,Apr,2019-04,10229,2722,1503,85.3,14.7,26.6,108.0,6.0,85.2,14.8,10894.0,-5.59,0,0
Bristol Royal Infirmary,South West,2019,5,May,2019-05,10293,2613,1121,89.1,10.9,25.4,90.0,5.3,85.3,14.7,10452.0,0.63,0,0
Bristol Royal Infirmary,South West,2019,6,Jun,2019-06,10141,2629,1299,87.2,12.8,25.9,90.0,7.4,89.1,10.9,10221.0,-1.48,0,0
Bristol Royal Infirmary,South West,2019,7,Jul,2019-07,10835,2736,1446,86.6,13.4,25.3,109.0,2.4,87.2,12.8,10423.0,6.84,0,0
Bristol Royal Infirmary,South West,2019,8,Aug,2019-08,11455,3314,1543,86.5,13.5,28.9,90.0,3.8,86.6,13.4,10810.0,5.72,0,0
Bristol Royal Infirmary,South West,2019,9,Sep,2019-09,10283,2615,1375,86.6,13.4,25.4,92.0,3.3,86.5,13.5,10858.0,-10.23,0,0
Bristol Royal Infirmary,South West,2019,10,Oct,2019-10,10507,3234,1450,86.2,13.8,30.8,96.0,2.3,86.6,13.4,10748.0,2.18,0,0
Bristol Royal Infirmary,South West,2019,11,Nov,2019-11,11152,2908,1686,84.9,15.1,26.1,78.0,5.9,86.2,13.8,10647.0,6.14,1,0
Bristol Royal Infirmary,South West,2019,12,Dec,2019-12,12090,3127,2216,81.7,18.3,25.9,76.0,9.2,84.9,15.1,11250.0,8.41,1,0
Bristol Royal Infirmary,South West,2020,1,Jan,2020-01,12260,3548,2540,79.3,20.7,28.9,137.0,6.1,81.7,18.3,11834.0,1.41,1,0
Bristol Royal Infirmary,South West,2020,2,Feb,2020-02,11746,3531,2294,80.5,19.5,30.1,108.0,4.5,79.3,20.7,12032.0,-4.19,1,0
Bristol Royal Infirmary,South West,2020,3,Mar,2020-03,11106,3238,1738,84.4,15.6,29.2,106.0,3.7,80.5,19.5,11704.0,-5.45,0,1
Bristol Royal Infirmary,South West,2020,4,Apr,2020-04,5844,1680,796,86.4,13.6,28.8,89.0,1.9,84.4,15.6,9565.0,-47.38,0,1
Bristol Royal Infirmary,South West,2020,5,May,2020-05,5721,1553,796,86.1,13.9,27.2,109.0,4.3,86.4,13.6,7557.0,-2.1,0,1
Bristol Royal Infirmary,South West,2020,6,Jun,2020-06,6022,1728,883,85.3,14.7,28.7,109.0,2.7,86.1,13.9,5862.0,5.26,0,1
Bristol Royal Infirmary,South West,2020,7,Jul,2020-07,8778,2163,1333,84.8,15.2,24.6,101.0,7.8,85.3,14.7,6840.0,45.77,0,0
Bristol Royal Infirmary,South West,2020,8,Aug,2020-08,9348,2527,1579,83.1,16.9,27.0,100.0,3.0,84.8,15.2,8049.0,6.49,0,0
Bristol Royal Infirmary,South West,2020,9,Sep,2020-09,8501,2419,1145,86.5,13.5,28.5,83.0,6.0,83.1,16.9,8876.0,-9.06,0,0
Bristol Royal Infirmary,South West,2020,10,Oct,2020-10,10522,3171,1802,82.9,17.1,30.1,101.0,3.1,86.5,13.5,9457.0,23.77,0,0
Bristol Royal Infirmary,South West,2020,11,Nov,2020-11,11511,2980,2252,80.4,19.6,25.9,84.0,4.2,82.9,17.1,10178.0,9.4,1,0
Bristol Royal Infirmary,South West,2020,12,Dec,2020-12,12143,3430,2367,80.5,19.5,28.2,99.0,4.3,80.4,19.6,11392.0,5.49,1,0
Bristol Royal Infirmary,South West,2021,1,Jan,2021-01,13186,3907,3767,71.4,28.6,29.6,147.0,12.6,80.5,19.5,12280.0,8.59,1,0
Bristol Royal Infirmary,South West,2021,2,Feb,2021-02,12216,3459,3619,70.4,29.6,28.3,143.0,11.8,71.4,28.6,12515.0,-7.36,1,0
Bristol Royal Infirmary,South West,2021,3,Mar,2021-03,11640,3095,3219,72.3,27.7,26.6,151.0,10.2,70.4,29.6,12347.0,-4.72,0,0
Bristol Royal Infirmary,South West,2021,4,Apr,2021-04,10767,2861,2568,76.1,23.9,26.6,150.0,9.3,72.3,27.7,11541.0,-7.5,0,0
Bristol Royal Infirmary,South West,2021,5,May,2021-05,10755,3055,2324,78.4,21.6,28.4,121.0,8.8,76.1,23.9,11054.0,-0.11,0,0
Bristol Royal Infirmary,South West,2021,6,Jun,2021-06,10782,3077,2389,77.8,22.2,28.5,152.0,5.1,78.4,21.6,10768.0,0.25,0,0
Bristol Royal Infirmary,South West,2021,7,Jul,2021-07,11922,3231,2892,75.7,24.3,27.1,111.0,7.3,77.8,22.2,11153.0,10.57,0,0
Bristol Royal Infirmary,South West,2021,8,Aug,2021-08,11954,3279,3132,73.8,26.2,27.4,152.0,6.8,75.7,24.3,11553.0,0.27,0,0
Bristol Royal Infirmary,South West,2021,9,Sep,2021-09,10962,3133,2498,77.2,22.8,28.6,122.0,5.9,73.8,26.2,11613.0,-8.3,0,0
Bristol Royal Infirmary,South West,2021,10,Oct,2021-10,10766,2723,2814,73.9,26.1,25.3,140.0,11.4,77.2,22.8,11227.0,-1.79,0,0
Bristol Royal Infirmary,South West,2021,11,Nov,2021-11,12252,3035,3208,73.8,26.2,24.8,123.0,8.0,73.9,26.1,11327.0,13.8,1,0
Bristol Royal Infirmary,South West,2021,12,Dec,2021-12,12147,3370,3506,71.1,28.9,27.7,126.0,9.2,73.8,26.2,11722.0,-0.86,1,0
Bristol Royal Infirmary,South West,2022,1,Jan,2022-01,13284,3474,4353,67.2,32.8,26.2,214.0,14.2,71.1,28.9,12561.0,9.36,1,0
Bristol Royal Infirmary,South West,2022,2,Feb,2022-02,12209,3362,4030,67.0,33.0,27.5,216.0,13.8,67.2,32.8,12547.0,-8.09,1,0
Bristol Royal Infirmary,South West,2022,3,Mar,2022-03,11443,3189,3473,69.6,30.4,27.9,188.0,8.8,67.0,33.0,12312.0,-6.27,0,0
Bristol Royal Infirmary,South West,2022,4,Apr,2022-04,11231,3354,2944,73.8,26.2,29.9,149.0,10.7,69.6,30.4,11628.0,-1.85,0,0
Bristol Royal Infirmary,South West,2022,5,May,2022-05,10641,2673,2658,75.0,25.0,25.1,140.0,6.8,73.8,26.2,11105.0,-5.25,0,0
Bristol Royal Infirmary,South West,2022,6,Jun,2022-06,11202,2780,3025,73.0,27.0,24.8,117.0,6.5,75.0,25.0,11025.0,5.27,0,0
Bristol Royal Infirmary,South West,2022,7,Jul,2022-07,12025,3319,3186,73.5,26.5,27.6,117.0,6.8,73.0,27.0,11289.0,7.35,0,0
Bristol Royal Infirmary,South West,2022,8,Aug,2022-08,11688,3533,3479,70.2,29.8,30.2,121.0,9.5,73.5,26.5,11638.0,-2.8,0,0
Bristol Royal Infirmary,South West,2022,9,Sep,2022-09,10573,2921,2911,72.5,27.5,27.6,137.0,8.1,70.2,29.8,11429.0,-9.54,0,0
Bristol Royal Infirmary,South West,2022,10,Oct,2022-10,10857,2783,3133,71.1,28.9,25.6,120.0,12.9,72.5,27.5,11039.0,2.69,0,0
Bristol Royal Infirmary,South West,2022,11,Nov,2022-11,12269,3301,3766,69.3,30.7,26.9,183.0,11.0,71.1,28.9,11233.0,13.01,1,0
Bristol Royal Infirmary,South West,2022,12,Dec,2022-12,12804,3226,4112,67.9,32.1,25.2,188.0,10.7,69.3,30.7,11977.0,4.36,1,0
Bristol Royal Infirmary,South West,2023,1,Jan,2023-01,13551,3757,5068,62.6,37.4,27.7,163.0,13.7,67.9,32.1,12875.0,5.83,1,0
Bristol Royal Infirmary,South West,2023,2,Feb,2023-02,12203,3050,4524,62.9,37.1,25.0,200.0,11.2,62.6,37.4,12853.0,-9.95,1,0
Bristol Royal Infirmary,South West,2023,3,Mar,2023-03,11913,3029,3853,67.7,32.3,25.4,188.0,10.8,62.9,37.1,12556.0,-2.38,0,0
Bristol Royal Infirmary,South West,2023,4,Apr,2023-04,10673,2613,3176,70.2,29.8,24.5,131.0,10.8,67.7,32.3,11596.0,-10.41,0,0
Bristol Royal Infirmary,South West,2023,5,May,2023-05,10984,2830,3149,71.3,28.7,25.8,110.0,11.4,70.2,29.8,11190.0,2.91,0,0
Bristol Royal Infirmary,South West,2023,6,Jun,2023-06,11248,3346,3215,71.4,28.6,29.7,148.0,9.9,71.3,28.7,10968.0,2.4,0,0
Bristol Royal Infirmary,South West,2023,7,Jul,2023-07,11857,3220,3588,69.7,30.3,27.2,167.0,12.7,71.4,28.6,11363.0,5.41,0,0
Bristol Royal Infirmary,South West,2023,8,Aug,2023-08,12738,3124,4147,67.4,32.6,24.5,180.0,13.2,69.7,30.3,11948.0,7.43,0,0
Bristol Royal Infirmary,South West,2023,9,Sep,2023-09,11458,2803,3622,68.4,31.6,24.5,212.0,10.4,67.4,32.6,12018.0,-10.05,0,0
Bristol Royal Infirmary,South West,2023,10,Oct,2023-10,11483,2809,3508,69.4,30.6,24.5,197.0,8.1,68.4,31.6,11893.0,0.22,0,0
Bristol Royal Infirmary,South West,2023,11,Nov,2023-11,12237,3308,4125,66.3,33.7,27.0,220.0,12.2,69.4,30.6,11726.0,6.57,1,0
Bristol Royal Infirmary,South West,2023,12,Dec,2023-12,12635,3342,4807,62.0,38.0,26.5,179.0,10.7,66.3,33.7,12118.0,3.25,1,0
Bristol Royal Infirmary,South West,2024,1,Jan,2024-01,13239,3847,4709,64.4,35.6,29.1,198.0,13.7,62.0,38.0,12704.0,4.78,1,0
Bristol Royal Infirmary,South West,2024,2,Feb,2024-02,12294,3519,4310,64.9,35.1,28.6,186.0,9.3,64.4,35.6,12723.0,-7.14,1,0
Bristol Royal Infirmary,South West,2024,3,Mar,2024-03,12513,3483,3796,69.7,30.3,27.8,159.0,12.2,64.9,35.1,12682.0,1.78,0,0
Bristol Royal Infirmary,South West,2024,4,Apr,2024-04,11360,3324,3101,72.7,27.3,29.3,146.0,9.7,69.7,30.3,12056.0,-9.21,0,0
Bristol Royal Infirmary,South West,2024,5,May,2024-05,10734,3042,2817,73.8,26.2,28.3,143.0,7.2,72.7,27.3,11536.0,-5.51,0,0
Bristol Royal Infirmary,South West,2024,6,Jun,2024-06,11123,3253,2877,74.1,25.9,29.2,151.0,10.6,73.8,26.2,11072.0,3.62,0,0
Bristol Royal Infirmary,South West,2024,7,Jul,2024-07,12310,3720,3485,71.7,28.3,30.2,136.0,10.7,74.1,25.9,11389.0,10.67,0,0
Bristol Royal Infirmary,South West,2024,8,Aug,2024-08,12219,3545,3669,70.0,30.0,29.0,173.0,8.7,71.7,28.3,11884.0,-0.74,0,0
Bristol Royal Infirmary,South West,2024,9,Sep,2024-09,11116,2835,3219,71.0,29.0,25.5,129.0,12.6,70.0,30.0,11882.0,-9.03,0,0
Bristol Royal Infirmary,South West,2024,10,Oct,2024-10,11640,2856,3629,68.8,31.2,24.5,200.0,10.2,71.0,29.0,11658.0,4.71,0,0
Bristol Royal Infirmary,South West,2024,11,Nov,2024-11,12888,3811,4097,68.2,31.8,29.6,173.0,12.3,68.8,31.2,11881.0,10.72,1,0
Bristol Royal Infirmary,South West,2024,12,Dec,2024-12,12784,3637,4176,67.3,32.7,28.5,176.0,10.1,68.2,31.8,12437.0,-0.81,1,0
Cambridge University Hospitals,East of England,2018,2,Feb,2018-02,10585,3142,1799,83.0,17.0,29.7,108.0,4.8,81.9,18.1,10887.0,-5.4,1,0
Cambridge University Hospitals,East of England,2018,3,Mar,2018-03,10261,2969,1741,83.0,17.0,28.9,101.0,7.0,83.0,17.0,10678.0,-3.06,0,0
Cambridge University Hospitals,East of England,2018,4,Apr,2018-04,9032,2274,994,89.0,11.0,25.2,77.0,5.2,83.0,17.0,9959.0,-11.98,0,0
Cambridge University Hospitals,East of England,2018,5,May,2018-05,9007,2403,865,90.4,9.6,26.7,50.0,5.4,89.0,11.0,9433.0,-0.28,0,0
Cambridge University Hospitals,East of England,2018,6,Jun,2018-06,9346,2714,1191,87.3,12.7,29.0,93.0,5.1,90.4,9.6,9128.0,3.76,0,0
Cambridge University Hospitals,East of England,2018,7,Jul,2018-07,9943,2963,1162,88.3,11.7,29.8,100.0,1.7,87.3,12.7,9432.0,6.39,0,0
Cambridge University Hospitals,East of England,2018,8,Aug,2018-08,10538,3043,1403,86.7,13.3,28.9,88.0,6.9,88.3,11.7,9942.0,5.98,0,0
